bd_style,bd_nb_chambre,bd_nb_piece,bd_prix,bd_paragraphe,bd_salle_d_eau,bd_salle_de_bain,bd_toilette,bd_annee,bd_etage,bd_ascenseur,bd_balcon,bd_cave,bd_chemine,bd_cuisine,bd_exposition,bd_gardien,bd_hauteur,bd_jardin,bd_localisation,bd_neuf,bd_parking,bd_parquet,bd_piscine,bd_taille,bd_terrasse,bd_travaux,bd_vis_a_vis,bd_vue
Appartement,2 Chambres,5 Pièces,"1 560 000 €
Les honoraires sont à la charge du vendeur","Exceptionnel, en étage élevé avec une vue panoramique jusqu'à Fourvière dans un immeuble de grand standing 163 m² composé d'une entrée ouverte sur une vaste réception de 56 m², cuisine indépendante, 2 grandes chambres (4 à l'origine), grand dressing, vaste salle de bains de 10 m², buanderie, toilettes. 1 cave et garage pour 40 ke en sus du prix Une exclusivité PRIMMO.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Au 6ème étage,Non reference,,Non reference,Non reference,Non reference,Non reference,Gardien,Bâtiment de 13 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['163 M²'],Non reference,Non reference,Non reference,Belle vue
Appartement,4 Chambres,6 Pièces,"1 050 000 €
Les honoraires sont à la charge du vendeur","Venez découvrir ce grand appartement familial de 168 m² au 6ème et dernier étage d'un immeuble de bon standing avec son garage fermé de 16m². Il comprend un vaste séjour double de 55 m² donnant sur un balcon plein ouest de 10 m² avec vue sur la colline de la Croix Rousse, quatre chambres, une cuisine indépendante avec son balcon, trois salles d'eau, deux toilettes et de nombreux placards.. Une cave complète ce bien. Un garage fermé en sous-sol est possible en SUS. Proche de toutes les commodités: métro Foch, bus, écoles, commerces, Parc de la Tête d'Or et Berges du Rhône Contacter Bénédicte Tuaillon: Classe Énergie: D Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles: 7598.00 euros.",Non reference,3 Salles de bain,2 Toilettes,Année de construction 1970,Au 6ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 6 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['168 M²'],Non reference,Non reference,Non reference,Belle vue
Appartement,3 Chambres,4 Pièces,"1 550 000 €
Les honoraires sont à la charge du vendeur","Lyon 6 - Boulevard des Belges - Appartement de 183 m² - 3 chambres Cet appartement rénové est situé au 1er étage avec ascenseur d'un immeuble de 1910. Sa superficie est de 183 m². De belles pièces de réception avec séjour, salle à manger et cuisine indépendante, 3 chambres dont une suite parentale et une salle d'eau composent cet appartement d'exception. 2 caves. Place de parking non nominatives dans la cours. À proximité immédiate des commerces, des écoles et des transports.",1 Salle d'eau,1 Salle de bain,Non reference,Année de construction 1910,Au 1er étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 4 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['183 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,4 Chambres,5 Pièces,"1 370 000 €
Les honoraires sont à la charge du vendeur","Situé rue Tronchet, dans le 6ème arrondissement de Lyon à quelques mètres du métro Foch, cet appartement d'exception de 164 m² entièrement rénové par architecte, prend place au 4ème étage d'un bel immeuble haussmannien sur son terrain. La partie jour de l'appartement comprend une belle pièce chaleureuse et élégante de réception d'environ 60 m² avec belle hauteur sous plafond. La cuisine aménagée et équipée avec îlot central, ouverte sur le séjour, présente un espace convivial. L'espace nuit comprend 4 chambres avec placards dont une magnifique Master Suite avec salle d'eau et dressing. Les autres chambres se partagent une salle de bain avec douche et baignoire. Le charme de l'ancien, de l'entrée de l'immeuble jusqu'aux parties privatives, les prestations de rénovation haut de gamme, ainsi que l'emplacement prisé et rare font de ce bien un véritable joyau. Climatisé. 1 cave et un grenier complètent ce bien. Garage en location à 1 minute à pied. Charges annuelles: 1990 euros Contact: Clément - Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles: 1996.00 euros.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1900,Au 4ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['164 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,5 Pièces,"Exclusivité. Lyon 6ème, boulevard des Belges. Appartement d'exception d'une surface de 173 m² dans un immeuble de 1950 avec un accès direct sur le Parc de la Tête d'Or. Il se compose d'une entrée desservant une double réception et une salle à manger en enfilade côté Sud. Une cuisine indépendante équipée avec son balcon côté Parc. L'espace nuit est actuellement composé d'un bureau, d'une salle de bains avec baignoire balnéo et douche, d'une très grande chambre de 36 m² avec un dressing sur-mesure. La chambre bénéficie de 3 grandes fenêtres exposées Est / Ouest. L'appartement peut-être reconfiguré en 4 chambres. Une cave. Un garage en sus situé dans la cour de l'immeuble au prix de 50 000 € complète ce bien. Infos loi Alur: 17 lots de copropriété, quote part charges annuelles 6 540 €, pas de procédure en cours. Violaine Prenot.","Exclusivité. Lyon 6ème, boulevard des Belges. Appartement d'exception d'une surface de 173 m² dans un immeuble de 1950 avec un accès direct sur le Parc de la Tête d'Or. Il se compose d'une entrée desservant une double réception et une salle à manger en enfilade côté Sud. Une cuisine indépendante équipée avec son balcon côté Parc. L'espace nuit est actuellement composé d'un bureau, d'une salle de bains avec baignoire balnéo et douche, d'une très grande chambre de 36 m² avec un dressing sur-mesure. La chambre bénéficie de 3 grandes fenêtres exposées Est / Ouest. L'appartement peut-être reconfiguré en 4 chambres. Une cave. Un garage en sus situé dans la cour de l'immeuble au prix de 50 000 € complète ce bien. Infos loi Alur: 17 lots de copropriété, quote part charges annuelles 6 540 €, pas de procédure en cours. Violaine Prenot.",Non reference,1 Salle de bain,2 Toilettes,Année de construction 1956,Au 2ème étage,Ascenseur,Balcon,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 4 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['173 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,5 Pièces,"1 230 000 €
Les honoraires sont à la charge du vendeur","Lyon 6 - Foch - Appartement à vendre de 154 m² - 3 chambres FOCH. Situé au coeur du 6e arrondissement cet appartement dispose de 154 m². Il se compose d'une entrée desservant un salon, d'une salle à manger, d'une cuisine équipée avec son cellier. La partie nuit totalise 3 chambres dont une suite parentale avec une salle de bains et une salle d'eau. Une buanderie, une cave et un local à vélo complètent ce bien.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1950,Au 2ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 10 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['154 M²'],Non reference,Non reference,Non reference,Belle vue
Appartement,2 Chambres,4 Pièces,"895 000 €
Les honoraires sont à la charge du vendeur","boulevard des Belges coté impair avec accès direct au Parc de la Tête d'or, Joli 104.95 m² + terrasse de 14 m², composé d'une entrée, vaste séjour de 34.35 m² exposé Sud/Ouest, cuisine indépendante, 2 belles chambres de 14.40 et 12.10 m², salle de bains fenêtre baignoire et douche, coin bureau dans le dégagement de 7.85 m², WC indépendants, nombreux rangements. 1 cave de 13 m² et 1 beau parking en sous-sol sécurisé pour 35 ke en sus du prix Copropriété de 17 lots (Pas de procédure en cours). Charges annuelles: 4220 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1982,Au 2ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 3 étages,Non reference,Lyon 6ème,Non reference,Parking,Non reference,Non reference,['105 M²'],Terrasse,Non reference,Non reference,Non reference
Appartement,4 Chambres,5 Pièces,"1 050 000 €
Les honoraires sont à la charge du vendeur","Au coeur du 6ème arrondissements de Lyon, à 20 mètres de la place Edgar Quinet, et 5 minutes du métro Foch, cet appartement familiale de 145 m² se situe au 4ème étage d'un immeuble de 1990. Un grand hall d'entrée accueille ses hôtes et distribue l'appartement. Au Nord sur cour, prennent place une suite parentale avec sa salle de bain, deux chambres et une cuisine fermée. Au Sud se trouve une très belle pièce de vie lumineuse de 40 m² avec parquet chevron. Une quatrième chambre mitoyenne à la pièce de vie se trouve également au Sud. Deux salles de bains supplémentaires complètent cet ensemble. Possibilité de transposer la quatrième chambre sur cour et agrandir la pièce de vie d'environ 20 m². Un box fermé et une cave s'ajoutent à cet appartement. La localisation a proximité immédiate de la place Edgar Quinet, le stationnement, l'étage élevé et les possibilités d'aménagement font de cet appartement un bien coup de coeur. Box fermé 1 place Travaux de rafraîchissement à prévoir. Immeuble sur son terrain. Soumis au statut de la copropriété 25 lots - charges annuelles 1800 euros Contact: Clément: Copropriété de 25 lots (Pas de procédure en cours). Charges annuelles: 1800.00 euros.",1 Salle d'eau,2 Salles de bain,2 Toilettes,Non reference,Au 4ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 7 étages,Non reference,Lyon 6ème,Non reference,,Parquet,Non reference,['145 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,4 Pièces,"1 550 000 €
Les honoraires sont à la charge du vendeur","Lyon 6 - Boulevard des Belges - Appartement de 183 m² - 3 chambres Cet appartement rénové est situé au 1er étage avec ascenseur d'un immeuble de 1910. Sa superficie est de 183 m². De belles pièces de réception avec séjour, salle à manger et cuisine indépendante, 3 chambres dont une suite parentale et une salle d'eau composent cet appartement d'exception. 2 caves. Place de parking non nominatives dans la cours. À proximité immédiate des commerces, des écoles et des transports.",1 Salle d'eau,1 Salle de bain,Non reference,Année de construction 1910,Au 1er étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 4 étages,Non reference,Lyon 6ème,Non reference,,Parquet,Non reference,['183 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,5 Pièces,"870 000 €
Les honoraires sont à la charge du vendeur","Au 3ème étage d'un immeuble ART DÉCO. Appartement de 132 m² Carrez composé d'une vaste entrée desservant les différentes pièces de l'appartement, d'une pièce de vie de 40 m² ouverte sur un balcon filant et orienté à l'Ouest, de trois chambres dont une avec dressing, d'une cuisine indépendante ouvrant sur un 2ème grand balcon de 9 m², d'un cellier, d'une salle de bains, d'une salle d'eau. Un garage à proximité immédiate peut être acquis en bail longue durée. Copropriété de 25 lots. Quote part annuelle 3832EUR chauffage compris. Pas de procédures en cours. Honoraires à la charge du vendeur. ARLIM PRESTIGE SAXE: Brune GONTARD Agent commercial.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1930,Au 3ème étage,Ascenseur,Balcon,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 7 étages,Non reference,Lyon 6ème,Non reference,Non reference,Non reference,Non reference,['132 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,4 Pièces,"1 700 000 €
Les honoraires sont à la charge du vendeur",EXCLUSIVITÉ - Lyon 6 - Tête d'Or - Appartement à vendre de 149 m² - 3 Chambres EXCLUSIVITÉ - TÊTE D'OR. Cet appartement d'exception est situé au second étage d'un hôtel particulier côté parc et a été entièrement refait à neuf. Il se compose d'un salon climatisé et d'une cuisine indépendante totalisant 48 m². La partie nuit se compose de 3 chambres avec chacune salle de bains ou salle d'eau. Cet appartement se compose également d'une terrasse végétalisée. Cet appartement bénéficie de très belles prestations. Une cave complète ce bien. Possibilité d'acquérir en sus 3 parkings. Vous êtes à proximité des commerces et des écoles.,1 Salle d'eau,2 Salles de bain,1 Toilette,Année de construction 1800,Au 2ème étage,Non reference,Balcon,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 3 étages,Non reference,Lyon 6ème,Non reference,Non reference,Non reference,Non reference,['149 M²'],Terrasse,Non reference,Non reference,Belle vue
Appartement,2 Chambres,4 Pièces,"Quai Sarrail / Lyautey Exclusivité Emplacement de 1er ordre pour cet appartement-loft de prestige d'une superficie de 181 m² situé bord de Rhône avec une vue époustouflante sur ville et colline. Vous serez séduit par cette superbe rénovation alliant le charme de l'ancien au contemporain, réalisée par un architecte de renom. Une pièce de vie de 116 m² traversante Est/Ouest composée d'un séjour-salle à manger avec parquet et cheminées, d'une cuisine équipée high-tech pour les fins gourmets. Au calme, deux chambres sur cour dont une suite parentale avec son dressing et sa salle de bains prestigieuse, la seconde chambre avec sa salle d'eau attenante. Deux caves et un grenier complètent ce bien. Infos Loi Alur: copropriété de 12 lots, quote-part charges annuelles de 1 200 €.","Quai Sarrail / Lyautey Exclusivité Emplacement de 1er ordre pour cet appartement-loft de prestige d'une superficie de 181 m² situé bord de Rhône avec une vue époustouflante sur ville et colline. Vous serez séduit par cette superbe rénovation alliant le charme de l'ancien au contemporain, réalisée par un architecte de renom. Une pièce de vie de 116 m² traversante Est/Ouest composée d'un séjour-salle à manger avec parquet et cheminées, d'une cuisine équipée high-tech pour les fins gourmets. Au calme, deux chambres sur cour dont une suite parentale avec son dressing et sa salle de bains prestigieuse, la seconde chambre avec sa salle d'eau attenante. Deux caves et un grenier complètent ce bien. Infos Loi Alur: copropriété de 12 lots, quote-part charges annuelles de 1 200 €.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1900,Au 4ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 5 étages,Non reference,Lyon 6ème,Non reference,Non reference,Parquet,Non reference,['181 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,5 Pièces,"800 000 €
Les honoraires sont à la charge du vendeur","LYON 6 - TÊTE D'OR Une exclusivité Majoux-Virieux - Aux pieds du parc de la tête d'or et à proximité des commerces. Très bel appartement extrêmement lumineux, rénové entièrement, sur 108 m². Une cuisine US entièrement équipée sur salon/ salle à manger de 44 M². Côté nuit, une suite parentale avec dressing, salle d'eau et WC indépendant. Deux autres belles chambres, une salle de bains. Une buanderie, un WC. Place de stationnement dans la copropriété. Une cave complète ce bien. MAJOUX-VIRIEUX Immobilier - Geoffrey DELORME.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Au moins 1 toilette séparée,Non reference,,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 5 étages,Non reference,Lyon 6ème,Non reference,Non reference,Non reference,Non reference,['108 M²'],Non reference,Non reference,Non reference,Non reference
